Merchant_ID,Merchant_Name,Merchant_Category,Merchant_City,Merchant_UPI,Transaction_ID,Customer_Name,Customer_Phone,Amount,Payment_Status,Fraudulent,QR_Image_Path,Date_Time
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00001,Teresa Jones,9196727797,1248.26,SUCCESS,No,qr_codes\TXN00001.png,2025-12-04 01:03:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00002,John Watson MD,5094398005,6481.53,FAILED,Yes,qr_codes\TXN00002.png,2025-12-07 03:41:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00003,Shannon Moore,6299790112,7083.72,SUCCESS,Yes,qr_codes\TXN00003.png,2025-12-08 06:49:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00004,John Schmidt,6130533735,7365.99,FAILED,Yes,qr_codes\TXN00004.png,2025-12-07 23:50:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00005,Felicia Thomas,9792752140,5611.48,SUCCESS,Yes,qr_codes\TXN00005.png,2025-12-04 09:49:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00006,James Keller,4840441129,4937.84,SUCCESS,Yes,qr_codes\TXN00006.png,2025-12-07 18:52:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00007,Katie Jackson,9430026147,371.27,SUCCESS,No,qr_codes\TXN00007.png,2025-12-01 15:31:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00008,Richard Bird,1099367689,4658.91,SUCCESS,Yes,qr_codes\TXN00008.png,2025-12-05 21:41:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00009,William Morris,1047974849,6174.81,FAILED,Yes,qr_codes\TXN00009.png,2025-12-07 21:19:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00010,Jaclyn Gray,8892295500,6210.88,FAILED,Yes,qr_codes\TXN00010.png,2025-12-03 09:05:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00011,David Alvarez,2809835839,5809.4,SUCCESS,Yes,qr_codes\TXN00011.png,2025-12-06 00:52:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00012,Jamie Wood,8436884264,866.45,SUCCESS,No,qr_codes\TXN00012.png,2025-12-05 21:12:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00013,James Mcdaniel,3139190698,3240.89,SUCCESS,Yes,qr_codes\TXN00013.png,2025-12-02 05:38:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00014,Karl Adkins Jr.,3562440580,2520.62,FAILED,Yes,qr_codes\TXN00014.png,2025-12-07 20:59:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00015,Thomas Guerrero,9930647923,1902.48,FAILED,No,qr_codes\TXN00015.png,2025-12-08 10:58:25
MID0001,"Lewis, Campos and Jimenez",Pharmacy,Gloverhaven,"lewis,c@upi",TXN00016,Kathleen Bradley,8285262075,328.67,FAILED,No,qr_codes\TXN00016.png,2025-12-03 14:38:25
