TransactionID,Date,Amount,Type,Sender,Receiver,Location,Device,FraudLabel,Risk
TXN000001,2025-10-05 20:17:14.158075,15895,Subscription Payments,Anjali Verma,Amit Patel,Coimbatore,Android,0,Low
TXN000002,2025-10-03 17:17:14.158075,960,Bill Payment,Manish Tiwari,Ravi Singh,Hyderabad,iOS,0,Low
TXN000003,2025-10-03 15:58:14.158075,38258,Shopping,Anita Sinha,Anita Sinha,Patna,iOS,0,High
TXN000004,2025-10-05 17:24:14.158075,44832,Recharge,Anjali Verma,Ravi Singh,Kochi,iOS,0,Low
TXN000005,2025-10-05 08:50:14.158075,11384,QR Code Payments,Deepak Malhotra,Sunita Das,Hyderabad,Android,0,Low
TXN000006,2025-10-04 19:46:14.158075,6365,Recharge, Priya Gupta,Ravi Singh,Lucknow,iOS,0,Medium
TXN000007,2025-10-06 19:53:14.158075,16950,Bill Payment,Kavita Reddy,Rajesh Kumar,Vijayawada,Android,0,Low
TXN000008,2025-10-02 05:06:14.158075,37294,QR Code Payments,Neha Sharma, Priya Gupta,Kochi,iOS,1,Low
TXN000009,2025-10-05 23:41:14.158075,22062,Subscription Payments,Sneha Iyer,Karan Kapoor,Madurai,iOS,1,Medium
TXN000010,2025-10-07 09:04:14.158075,47291,P2P,Deepak Malhotra,Kavita Reddy,Jaipur,Android,1,Medium
TXN000011,2025-10-06 17:23:14.158075,44231,Bill Payment,Karan Kapoor,Neha Sharma,Ahmedabad,Android,0,Medium
TXN000012,2025-10-05 22:40:14.158075,16123,Bill Payment,Aakash Choudhary,Vikram Joshi,Jodhpur,iOS,0,High
TXN000013,2025-10-02 23:55:14.158075,41190,Shopping,Neha Sharma,Meena Kumari,Lucknow,iOS,0,Medium
TXN000014,2025-10-04 19:44:14.158075,1785,Recharge,Rohan Mehta,Ravi Singh,Coimbatore,iOS,0,Medium
TXN000015,2025-10-06 18:51:14.158075,869,Bill Payment,Kavita Reddy,Karan Kapoor,Meerut,iOS,1,Medium
TXN000016,2025-10-05 08:17:14.158075,2533,Bill Payment, Priya Gupta,Vijay Rao,Gwalior,iOS,1,Low
TXN000017,2025-10-05 00:59:14.158075,5411,Subscription Payments,Kavita Reddy,Sunita Das,Raipur,Android,0,Low
TXN000018,2025-10-03 06:39:14.158075,37919,Subscription Payments,Pooja Nair,Aakash Choudhary,Thane,Android,0,Medium
TXN000019,2025-10-02 00:53:14.158075,39288,QR Code Payments,Karan Kapoor,Karan Kapoor,Hyderabad,Android,0,Low
TXN000020,2025-10-05 21:17:14.158075,17668,P2P,Anjali Verma,Deepak Malhotra,Patna,Android,0,Low
TXN000021,2025-10-02 10:11:14.158075,19869,Shopping,Pooja Nair,Neha Sharma,Nashik,iOS,1,Low
TXN000022,2025-10-04 00:00:14.158075,28793,P2P,Ravi Singh,Sneha Iyer,Nashik,Android,0,Low
TXN000023,2025-10-03 09:03:14.158075,6496,QR Code Payments,Amit Patel,Ravi Singh,Hyderabad,Android,0,Low
TXN000024,2025-10-05 23:46:14.158075,27580,Subscription Payments,Deepak Malhotra,Anjali Verma,Thane,Android,0,Medium
TXN000025,2025-10-02 05:21:14.158075,41534,Recharge,Kavita Reddy,Anita Sinha,Pune,iOS,0,High
TXN000026,2025-10-07 01:32:14.158075,25758,Subscription Payments,Kavita Reddy, Priya Gupta,Nagpur,Android,0,Medium
TXN000027,2025-10-02 17:14:14.158075,19042,Shopping,Suresh Yadav,Deepak Malhotra,Kolkata,iOS,1,Medium
TXN000028,2025-10-05 00:43:14.158075,18531,Subscription Payments,Sunita Das,Aakash Choudhary,Patna,Android,0,Low
TXN000029,2025-10-07 05:50:14.158075,2847,Shopping,Rajesh Kumar,Deepak Malhotra,Nashik,iOS,0,Low
TXN000030,2025-10-01 19:45:14.158075,289,Shopping,Ravi Singh, Priya Gupta,Visakhapatnam,Android,0,Low
TXN000031,2025-10-02 06:35:14.158075,19218,Shopping,Pooja Nair,Kavita Reddy,Meerut,iOS,0,Low
TXN000032,2025-10-02 18:04:14.158075,35873,QR Code Payments,Pooja Nair,Ravi Singh,Bhopal,Android,0,Low
TXN000033,2025-10-08 08:44:14.158075,1999,Shopping,Pooja Nair,Sunita Das,Pune,iOS,0,Low
TXN000034,2025-10-03 04:08:14.158075,1367,Shopping,Amit Patel,Amit Patel,Ahmedabad,iOS,0,Low
TXN000035,2025-10-03 10:57:14.158075,31651,Recharge,Kavita Reddy,Rohan Mehta,Kochi,Android,0,Low
TXN000036,2025-10-05 12:22:14.158075,11494,P2P,Vikram Joshi,Rohan Mehta,Aurangabad,iOS,0,High
TXN000037,2025-10-07 19:29:14.158075,3656,Bill Payment, Priya Gupta,Ravi Singh,Surat,iOS,0,Low
TXN000038,2025-10-06 06:44:14.158075,3990,P2P,Ravi Singh,Karan Kapoor,Agra,Android,0,Low
TXN000039,2025-10-08 09:13:14.158075,41706,Shopping,Karan Kapoor, Priya Gupta,Jaipur,Android,0,Low
TXN000040,2025-10-06 03:58:14.158075,30840,Recharge,Neha Sharma,Rajesh Kumar,Lucknow,iOS,0,Low
TXN000041,2025-10-06 10:23:14.158075,14602,Subscription Payments,Suresh Yadav,Pooja Nair,Agra,Android,0,Low
TXN000042,2025-10-07 08:28:14.158075,21877,Recharge,Rohan Mehta,Suresh Yadav,Meerut,Android,0,Low
TXN000043,2025-10-06 16:08:14.158075,10727,Shopping,Rohan Mehta,Suresh Yadav,Madurai,Android,0,Low
TXN000044,2025-10-05 23:15:14.158075,8892,Recharge,Vikram Joshi,Rohan Mehta,Jaipur,iOS,1,High
TXN000045,2025-10-02 17:22:14.158075,43423,Recharge,Rajesh Kumar,Vikram Joshi,Indore,iOS,0,Low
TXN000046,2025-10-04 05:51:14.158075,43121,Shopping,Ravi Singh,Meena Kumari,Vadodara,iOS,0,High
TXN000047,2025-10-03 12:45:14.158075,8533,QR Code Payments,Sunita Das,Anjali Verma,Mumbai,iOS,1,Medium
TXN000048,2025-10-04 13:12:14.158075,43101,Recharge,Neha Sharma,Karan Kapoor,Aurangabad,iOS,0,Low
TXN000049,2025-10-03 19:34:14.158075,11116,Bill Payment,Pooja Nair,Anjali Verma,Surat,iOS,0,Medium
TXN000050,2025-10-07 10:07:14.158075,23997,Bill Payment,Anita Sinha,Manish Tiwari,Mumbai,iOS,0,Low
TXN000051,2025-10-04 21:00:14.158075,2712,Recharge,Manish Tiwari,Rajesh Kumar,Visakhapatnam,Android,0,Low
TXN000052,2025-10-06 19:08:14.158075,23583,QR Code Payments,Rohan Mehta,Manish Tiwari,Thane,iOS,0,Low
TXN000053,2025-10-01 23:47:14.158075,48655,Subscription Payments,Sneha Iyer,Anjali Verma,Mumbai,iOS,0,Medium
TXN000054,2025-10-07 00:32:14.158075,17259,Shopping,Manish Tiwari,Rohan Mehta,Kolkata,Android,0,Low
TXN000055,2025-10-06 17:55:14.158075,45074,Bill Payment,Aakash Choudhary, Priya Gupta,Hyderabad,Android,1,High
TXN000056,2025-10-02 23:09:14.158075,41094,Subscription Payments,Pooja Nair,Kavita Reddy,Kolkata,Android,0,Medium
TXN000057,2025-10-03 06:43:14.158075,14641,Recharge,Anjali Verma,Rohan Mehta,Lucknow,iOS,0,High
TXN000058,2025-10-07 23:11:14.158075,36020,Subscription Payments,Suresh Yadav,Rajesh Kumar,Vijayawada,Android,0,Low
TXN000059,2025-10-02 01:41:14.158075,26631,P2P,Amit Patel,Sunita Das,Madurai,iOS,0,High
TXN000060,2025-10-08 02:29:14.158075,1685,Bill Payment,Anita Sinha,Sneha Iyer,Hyderabad,iOS,0,Low
TXN000061,2025-10-06 17:20:14.158075,4043,Recharge,Ravi Singh,Amit Patel,Meerut,iOS,0,Low
TXN000062,2025-10-02 04:39:14.158075,24039,Shopping,Aakash Choudhary,Vijay Rao,Bhopal,Android,0,Medium
TXN000063,2025-10-04 09:53:14.158075,19557,QR Code Payments,Manish Tiwari, Priya Gupta,Coimbatore,Android,0,Medium
TXN000064,2025-10-05 23:40:14.158075,1121,Recharge,Neha Sharma,Rohan Mehta,Visakhapatnam,iOS,0,Low
TXN000065,2025-10-05 15:53:14.158075,11753,Shopping,Neha Sharma,Karan Kapoor,Kolkata,iOS,0,Low
TXN000066,2025-10-06 17:40:14.158075,43674,QR Code Payments,Sneha Iyer,Neha Sharma,Kochi,iOS,0,Low
TXN000067,2025-10-04 19:13:14.158075,13517,QR Code Payments,Suresh Yadav, Priya Gupta,Pune,Android,0,Low
TXN000068,2025-10-08 11:01:14.158075,40857,Recharge,Anita Sinha,Sunita Das,Jaipur,iOS,0,Low
TXN000069,2025-10-04 07:06:14.158075,9792,Subscription Payments,Rohan Mehta,Karan Kapoor,Vadodara,Android,0,Low
TXN000070,2025-10-07 04:39:14.158075,45858,Subscription Payments,Vijay Rao,Rohan Mehta,Nagpur,iOS,0,Low
TXN000071,2025-10-03 05:45:14.158075,6973,QR Code Payments,Sunita Das,Suresh Yadav,Chennai,Android,0,High
TXN000072,2025-10-04 21:34:14.158075,5775,Subscription Payments,Ravi Singh,Anjali Verma,Kolkata,iOS,0,Low
TXN000073,2025-10-05 10:09:14.158075,261,P2P,Suresh Yadav,Rajesh Kumar,Kanpur,Android,0,Medium
TXN000074,2025-10-05 21:08:14.158075,37165,QR Code Payments,Rajesh Kumar,Rohan Mehta,Aurangabad,Android,0,High
TXN000075,2025-10-01 17:27:14.158075,26657,QR Code Payments,Vijay Rao,Sunita Das,Gwalior,Android,0,Low
TXN000076,2025-10-08 01:59:14.158075,33863,Shopping,Deepak Malhotra,Ravi Singh,Bangalore,Android,0,Low
TXN000077,2025-10-04 03:04:14.158075,32706,Subscription Payments,Sneha Iyer,Karan Kapoor,Chennai,Android,0,Low
TXN000078,2025-10-06 02:26:14.158075,11634,QR Code Payments,Anita Sinha,Ravi Singh,Delhi,Android,0,Medium
TXN000079,2025-10-06 07:13:14.158075,29227,P2P,Vikram Joshi,Anita Sinha,Madurai,iOS,0,Low
TXN000080,2025-10-02 07:23:14.158075,40497,Shopping,Rohan Mehta,Amit Patel,Jodhpur,iOS,0,Low
TXN000081,2025-10-04 17:10:14.158075,25951,Recharge,Manish Tiwari,Amit Patel,Raipur,iOS,0,Low
TXN000082,2025-10-02 12:50:14.158075,1116,QR Code Payments,Sneha Iyer,Rohan Mehta,Kochi,iOS,0,Low
TXN000083,2025-10-05 02:49:14.158075,24353,P2P,Kavita Reddy,Suresh Yadav,Nagpur,Android,0,Low
TXN000084,2025-10-04 18:47:14.158075,24376,Bill Payment,Amit Patel,Manish Tiwari,Surat,iOS,0,High
TXN000085,2025-10-02 07:07:14.158075,23347,P2P,Anjali Verma,Deepak Malhotra,Jaipur,Android,0,Low
TXN000086,2025-10-06 08:19:14.158075,24400,P2P,Suresh Yadav,Aakash Choudhary,Mumbai,Android,1,High
TXN000087,2025-10-03 08:49:14.158075,8629,Shopping, Priya Gupta, Priya Gupta,Chennai,Android,1,High
TXN000088,2025-10-07 06:25:14.158075,17362,Recharge,Rajesh Kumar,Meena Kumari,Surat,iOS,0,Low
TXN000089,2025-10-04 23:18:14.158075,9368,Bill Payment, Priya Gupta,Anita Sinha,Bhopal,Android,0,Low
TXN000090,2025-10-03 10:00:14.158075,21371,Subscription Payments,Vijay Rao,Kavita Reddy,Bhopal,iOS,0,Medium
TXN000091,2025-10-02 14:05:14.158075,12285,Subscription Payments,Rohan Mehta,Pooja Nair,Vijayawada,iOS,0,Medium
TXN000092,2025-10-03 10:20:14.158075,21343,P2P,Deepak Malhotra,Anjali Verma,Kolkata,iOS,0,Low
TXN000093,2025-10-05 02:54:14.158075,39199,Shopping,Deepak Malhotra,Anjali Verma,Nashik,iOS,0,High
TXN000094,2025-10-06 04:40:14.158075,8671,Shopping,Sunita Das,Manish Tiwari,Bangalore,iOS,1,Low
TXN000095,2025-10-05 05:41:14.158075,40076,Subscription Payments,Ravi Singh,Manish Tiwari,Kanpur,Android,1,Low
TXN000096,2025-10-04 08:47:14.158075,38144,Bill Payment,Pooja Nair, Priya Gupta,Meerut,Android,0,Low
TXN000097,2025-10-05 13:26:14.158075,49316,Recharge, Priya Gupta,Sneha Iyer,Thane,iOS,0,Low
TXN000098,2025-10-05 05:00:14.158075,49084,Bill Payment,Ravi Singh, Priya Gupta,Patna,Android,0,Low
TXN000099,2025-10-06 20:21:14.158075,40874,QR Code Payments,Sneha Iyer,Sneha Iyer,Raipur,iOS,0,Low
TXN000100,2025-10-06 10:55:14.158075,2668,QR Code Payments,Meena Kumari,Neha Sharma,Kolkata,Android,0,Low
TXN000101,2025-10-06 07:13:14.158075,2127,Recharge,Kavita Reddy,Meena Kumari,Bhopal,Android,0,Low
TXN000102,2025-10-02 23:40:14.158075,2795,Subscription Payments,Sunita Das,Manish Tiwari,Nashik,Android,0,Medium
TXN000103,2025-10-06 04:31:14.158075,48290,Recharge,Vikram Joshi,Sneha Iyer,Indore,Android,0,Medium
TXN000104,2025-10-06 08:30:14.158075,5358,Shopping,Rajesh Kumar,Neha Sharma,Jodhpur,Android,0,Low
TXN000105,2025-10-02 01:16:14.158075,22102,QR Code Payments,Vikram Joshi,Suresh Yadav,Lucknow,Android,1,Low
TXN000106,2025-10-03 23:16:14.158075,39604,P2P,Pooja Nair,Rohan Mehta,Jaipur,Android,0,Low
TXN000107,2025-10-01 23:45:14.158075,33259,P2P,Ravi Singh,Sneha Iyer,Kanpur,Android,0,Low
TXN000108,2025-10-06 09:24:14.158075,14086,Subscription Payments,Vikram Joshi,Suresh Yadav,Bhopal,Android,0,Low
TXN000109,2025-10-07 06:18:14.158075,12766,Shopping,Neha Sharma,Pooja Nair,Lucknow,Android,0,Low
TXN000110,2025-10-07 01:30:14.158075,38760,Bill Payment,Kavita Reddy,Meena Kumari,Coimbatore,Android,0,Medium
TXN000111,2025-10-04 05:42:14.158075,3661,Shopping,Amit Patel,Neha Sharma,Visakhapatnam,Android,0,High
TXN000112,2025-10-03 21:46:14.158075,26954,P2P,Amit Patel,Vikram Joshi,Mumbai,Android,1,Low
TXN000113,2025-10-04 04:20:14.158075,39052,P2P,Pooja Nair,Vikram Joshi,Vijayawada,iOS,0,Medium
TXN000114,2025-10-06 14:43:14.158075,22762,QR Code Payments,Sneha Iyer,Vijay Rao,Meerut,Android,0,Low
TXN000115,2025-10-03 07:03:14.158075,8492,Shopping,Rohan Mehta,Sneha Iyer,Mumbai,Android,0,Low
TXN000116,2025-10-04 00:32:14.158075,30635,Shopping,Ravi Singh,Ravi Singh,Hyderabad,Android,1,Medium
TXN000117,2025-10-03 06:48:14.158075,13167,P2P,Vikram Joshi,Meena Kumari,Visakhapatnam,Android,0,Low
TXN000118,2025-10-02 09:42:14.158075,48133,Bill Payment,Kavita Reddy,Neha Sharma,Ahmedabad,Android,0,Low
TXN000119,2025-10-03 11:27:14.158075,23699,Subscription Payments,Anjali Verma,Pooja Nair,Thane,Android,0,Medium
TXN000120,2025-10-02 21:45:14.158075,35322,Subscription Payments,Vijay Rao,Vikram Joshi,Raipur,iOS,0,Medium
TXN000121,2025-10-02 02:14:14.158075,11937,Shopping,Karan Kapoor,Deepak Malhotra,Kolkata,iOS,0,Medium
TXN000122,2025-10-04 06:18:14.158075,14139,Subscription Payments,Sunita Das,Pooja Nair,Thane,iOS,0,Medium
TXN000123,2025-10-02 19:02:14.158075,30918,P2P,Sneha Iyer,Neha Sharma,Patna,Android,0,High
TXN000124,2025-10-02 01:20:14.158075,19215,P2P,Kavita Reddy,Deepak Malhotra,Aurangabad,Android,0,Low
TXN000125,2025-10-08 05:19:14.158075,11065,Shopping,Anita Sinha,Kavita Reddy,Bhopal,Android,0,Low
TXN000126,2025-10-05 21:39:14.158075,24638,Shopping,Rohan Mehta,Aakash Choudhary,Delhi,iOS,0,Low
TXN000127,2025-10-03 05:38:14.158075,42630,QR Code Payments, Priya Gupta,Pooja Nair,Agra,Android,0,Low
TXN000128,2025-10-02 10:31:14.158075,5156,Shopping,Manish Tiwari, Priya Gupta,Kolkata,Android,0,Low
TXN000129,2025-10-02 07:01:14.158075,32582,Bill Payment,Manish Tiwari,Sneha Iyer,Nashik,iOS,0,Low
TXN000130,2025-10-03 20:17:14.158075,47816,Subscription Payments,Pooja Nair, Priya Gupta,Thane,iOS,0,Low
TXN000131,2025-10-03 18:48:14.158075,8210,Shopping,Meena Kumari,Suresh Yadav,Kochi,Android,1,Low
TXN000132,2025-10-05 02:07:14.158075,13873,Recharge,Sunita Das,Amit Patel,Jaipur,Android,1,High
